sample_id	K4_sce_proportion	K4_A1_proportion	K4_B_proportion	K4_A2_proportion	archetype_k4_LF3_label
S01540	0.145774756296483	0.727750759161625	0	0.126474484541891	Ca A1
S01541	0.342774489459274	0.00312980281283613	0.0467099048026122	0.607385802925278	Ca A2
S01543	0.150788476172511	0.611443462391501	0.101404005519144	0.136364055916844	Ca A1
S01545	0.10572102805093	0.765500275340545	0	0.128778696608525	Ca A1
S01546	0.185150158930355	0	0.0978294208350188	0.717020420234626	Ca A2
S01567	0.242599494850659	0.0250759596769396	0.664983838109423	0.0673407073629785	Ca B
S01572	0.0590333380900043	0.653825629674002	0.191193835270955	0.0959471969650396	Ca A1
S01573	0.134805068824677	0.756334475479757	0.0477979522424786	0.0610625034530871	Ca A1
S01576	0.163878802084765	0.331518558974921	0.201613608227163	0.30298903071315	Ca A1
S01577	0.248151768666848	0.751848231333152	0	0	Ca A1
S01582	0.139723945009131	0.0206401134274952	0.0389751147341602	0.800660826829213	Ca A2
S01583	0.0460377527976918	0.142047725153643	0	0.811914522048665	Ca A2
S01584	0.047608994096834	0.0127016826483638	0	0.939689323254802	Ca A2
S01585	0.144318582572571	0.0357360275142486	0	0.81994538991318	Ca A2
S01590	0.118381845882506	0.550612082656061	0.0748406835407256	0.256165387920708	Ca A1
S01593	0.0227476452429952	0	0.0909964495429715	0.886255905214033	Ca A2
S01605_B_TU	0.18386656699565	0.0113530610888853	0.0702605935855534	0.734519778329911	Ca A2
S01666	0	0.0741811418067992	0.832193402349924	0.0936254558432765	Ca B
S01731	0.0289132524988958	0.0782332003475375	0.224800867299038	0.668052679854529	Ca A2
S01733	0.0441434191271841	0.597466757696693	0.0335405308485925	0.324849292327531	Ca A1
S01742	0.259672293802708	0.709107145384545	0	0.0312205608127469	Ca A1
S01746	0.183380334208259	0.693783809538584	0.0375335899576639	0.085302266295493	Ca A1
S02126	0.0618041485476157	0.759607458671663	0.178588392780721	0	Ca A1
S02154	0.179585005773164	0.440373685865833	0.0612970610200147	0.318744247340988	Ca A1
S02162	0.271424753367089	0.59684126410439	0.112061654265849	0.0196723282626723	Ca A1
S02323	0.179266846690878	0	0.797940011218666	0.0227931420904554	Ca B
S02325	0	0	0.828619673419612	0.171380326580388	Ca B
S02326	0.0991231347353533	0	0.0194792730551689	0.881397592209478	Ca A2
S02327	0.134879189854718	0.729837208130749	0	0.135283602014533	Ca A1
S02330	0.19983797246051	0.667609484073924	0.07052776940272	0.0620247740628464	Ca A1
